reaction_id,flux,absolute_flux
I2FE2SR,1.7539944288539453e-06,1.7539944288539453e-06
MEOHtex,-1.7539944288539453e-06,1.7539944288539453e-06
PMEACPE,1.7539944288539453e-06,1.7539944288539453e-06
DM_amob_c,1.7539944288539451e-06,1.7539944288539451e-06
BTS5,1.7539944288539451e-06,1.7539944288539451e-06
AOXSr2,1.753994428853945e-06,1.753994428853945e-06
OGMEACPS,1.7539944288341163e-06,1.7539944288341163e-06
OGMEACPD,1.753994428834116e-06,1.753994428834116e-06
OGMEACPR,1.753994428834116e-06,1.753994428834116e-06
OPMEACPD,1.753994428834116e-06,1.753994428834116e-06
MALCOAMT,1.7539944288341159e-06,1.7539944288341159e-06
OPMEACPS,1.7539944288341159e-06,1.7539944288341159e-06
OPMEACPR,1.7539944288341159e-06,1.7539944288341159e-06
EGMEACPR,1.7539944288341159e-06,1.7539944288341159e-06
UDCPDPpp,3.369498447754531e-18,3.369498447754531e-18
UDCPPtppi,3.3694984477545307e-18,3.3694984477545307e-18
TRE6PH,0.0,0.0
LACZ,0.0,0.0
UDPG4E,0.0,0.0
DMQMT,0.0,0.0
MACPD,0.0,0.0
EX_melib_e,0.0,0.0
EX_gua_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_sbt__D_e,0.0,0.0
NTPTP1,0.0,0.0
NTPP2,0.0,0.0
URIK2,0.0,0.0
URIK1,0.0,0.0
NTPP1,0.0,0.0
EX_xtsn_e,0.0,0.0
EX_thym_e,0.0,0.0
HCYSMT,0.0,0.0
CMPN,0.0,0.0
EX_acald_e,0.0,0.0
UAG2E,0.0,0.0
EX_tmao_e,0.0,0.0
PYDXK,0.0,0.0
GOFUCR,0.0,0.0
CITL,0.0,0.0
DHCIND,0.0,0.0
EX_tre_e,0.0,0.0
DHPPD,0.0,0.0
CINNDO,0.0,0.0
G3PT,0.0,0.0
ALDD4,0.0,0.0
EX_sucr_e,0.0,0.0
ICHORS_copy1,0.0,0.0
SBTPD,0.0,0.0
RMPA,0.0,0.0
ALCD19,0.0,0.0
LCARS,0.0,0.0
DHORD2,0.0,0.0
OHPHM,0.0,0.0
AACPS1,0.0,0.0
URIC,0.0,0.0
HEX7,0.0,0.0
TDPGDH,0.0,0.0
G1PTT,0.0,0.0
DKGLCNR2y,0.0,0.0
2DGULRx,0.0,0.0
PGLYCP,0.0,0.0
DMSOR1,0.0,0.0
TAGURr,0.0,0.0
MANAO,0.0,0.0
TGBPA,0.0,0.0
BUTCT,0.0,0.0
ACACCT,0.0,0.0
EX_hdcea_e,0.0,0.0
GLTPD,0.0,0.0
PFK_2,0.0,0.0
NTD9,0.0,0.0
UPPRT,0.0,0.0
ALLTN,0.0,0.0
G3PD6,0.0,0.0
DURIK1,0.0,0.0
DDPGALA,0.0,0.0
RZ5PP,0.0,0.0
TDPDRR,0.0,0.0
